"Time","BrunAce","FireSize"
1986-03-26,25771,"large"
1988-07-21,2147,"small"
1988-09-06,1455,"small"
1988-09-07,1092,"small"
1988-09-07,1583,"small"
1989-03-13,4505,"small"
1989-03-15,1476,"small"
1989-03-25,1063,"small"
1989-07-08,1547,"small"
1989-07-09,1305,"small"
1989-07-09,1416,"small"
1996-02-18,2256,"small"
1996-02-24,2692,"small"
1996-02-24,4928,"small"
1996-04-01,10233,"large"
1996-05-18,11690,"large"
1996-06-10,15613,"large"
1997-03-22,4380,"small"
1997-10-04,3728,"small"
1998-03-06,3188,"small"
1998-03-25,18218,"large"
1999-11-20,1623,"small"
2000-04-09,2747,"small"
2000-04-18,1911,"small"
2000-06-12,9607,"large"
2000-06-12,10444,"large"
2000-08-12,1588,"small"
2000-08-15,1359,"small"
2000-09-07,5555,"small"
2000-09-15,1001,"small"
2000-09-15,1337,"small"
2001-04-18,1169,"small"
2001-07-08,1435,"small"
2001-07-08,2047,"small"
2001-08-25,3760,"small"
2001-09-26,7375,"small"
2001-11-07,1380,"small"
2002-03-06,1612,"small"
2002-03-20,1209,"small"
2002-03-20,1104,"small"
2002-03-23,1281,"small"
2002-04-23,2080,"small"
2002-05-03,4903,"small"
2002-05-06,6568,"small"
2002-05-15,8862,"small"
2002-05-22,2821,"small"
2002-06-01,8688,"small"
2002-06-01,5258,"small"
2002-06-01,2261,"small"
2002-06-01,3275,"small"
2002-06-01,24044,"large"
2002-06-01,7190,"small"
2002-06-02,3955,"small"
2002-06-08,129417,"large"
2002-06-08,1846,"small"
2002-06-08,2200,"small"
2002-06-08,2386,"small"
2002-06-08,1367,"small"
2002-06-08,4911,"small"
2002-06-08,1109,"small"
2002-06-08,2134,"small"
2002-06-19,7424,"small"
2002-06-23,1396,"small"
2002-07-12,17627,"large"
2002-07-14,4342,"small"
2002-07-17,4348,"small"
2002-08-12,15478,"large"
2003-07-11,1322,"small"
2003-10-10,2530,"small"
2003-10-29,1118,"small"
2003-10-30,3232,"small"
2004-01-27,3164,"small"
2004-03-30,9014,"small"
2005-06-22,1083,"small"
2005-07-06,11023,"large"
2006-01-07,4370,"small"
2006-04-02,1152,"small"
2006-06-18,13126,"large"
2006-07-15,1033,"small"
2007-09-29,1352,"small"
2008-04-14,1524,"small"
2008-04-15,5339,"small"
2008-04-16,8253,"small"
2008-06-07,46612,"large"
2008-06-27,1107,"small"
2008-07-03,3529,"small"
2008-10-02,1971,"small"
2009-01-07,3160,"small"
2009-03-03,5141,"small"
2010-06-06,4887,"small"
2010-09-06,5865,"small"
2011-02-19,2385,"small"
2011-03-20,1640,"small"
2011-03-22,1562,"small"
2011-03-24,5322,"small"
2011-03-24,1167,"small"
2011-04-01,2855,"small"
2011-04-07,12310,"large"
2011-05-26,6585,"small"
2011-05-30,6233,"small"
2011-06-03,6078,"small"
2011-06-05,36863,"large"
2011-06-07,14158,"large"
2011-06-07,9393,"small"
2011-06-12,4705,"small"
2011-06-12,28893,"large"
2011-06-29,2423,"small"
2011-07-23,1029,"small"
2012-03-26,3436,"small"
2012-06-09,90769,"large"
2012-06-17,1665,"small"
2012-06-23,20112,"large"
2012-06-25,17958,"large"
2012-10-09,2549,"small"
2012-10-23,2293,"small"
2013-03-15,1319,"small"
2013-06-05,18775,"large"
2013-06-05,34441,"large"
2013-06-11,11885,"large"
2013-06-11,3290,"small"
2013-06-19,10082,"large"
2013-09-27,1327,"small"
2016-01-28,19918,"large"
2016-02-18,1867,"small"
2016-02-19,2451,"small"
2016-02-20,1873,"small"
2016-03-17,1732,"small"
2016-06-15,1367,"small"
2016-06-19,44221,"large"
2016-07-08,17977,"large"
2016-10-03,5769,"small"
2016-10-17,19023,"large"
2017-02-27,5113,"small"
2017-03-04,2200,"small"
2017-04-06,1582,"small"
2017-08-19,2868,"small"
2017-12-08,3299,"small"
2018-02-24,5182,"small"
2018-03-08,28533,"large"
2018-03-16,4773,"small"
2018-03-16,2129,"small"
2018-04-08,2888,"small"
2018-04-17,7480,"small"
2018-04-17,5173,"small"
2018-04-17,5109,"small"
2018-05-27,2288,"small"
2018-06-07,1355,"small"
2018-06-27,107108,"large"
2018-06-28,1216,"small"
2018-06-28,13169,"large"
2018-06-29,1414,"small"
2018-07-03,12506,"large"
2018-07-19,20725,"large"
2018-09-15,28858,"large"
2019-03-14,1006,"small"
2019-03-19,1146,"small"
2019-04-04,1689,"small"
2019-09-08,9875,"large"
2019-10-27,2264,"small"
2020-04-11,1437,"small"
2020-05-20,11823,"large"
2020-05-16,1838,"small"
2020-06-07,3414,"small"
2020-07-19,2204,"small"
2020-08-20,1582,"small"
2020-05-18,1669,"small"
2020-08-22,1745,"small"
2020-10-14,188924,"large"
2020-10-17,9836,"large"
2020-08-13,208910,"large"
2020-09-06,20886,"large"
2020-09-17,179894,"large"
2020-08-14,14679,"large"
