"Ig_Dates_trim","BurnBndAc"
1986-03-26,25771
1988-07-21,2147
1988-09-06,1455
1988-09-07,1092
1988-09-07,1583
1989-03-13,4505
1989-03-15,1476
1989-03-25,1063
1989-07-08,1547
1989-07-09,1305
1989-07-09,1416
1996-02-18,2256
1996-02-24,2692
1996-02-24,4928
1996-04-01,10233
1996-05-18,11690
1996-06-10,15613
1997-03-22,4380
1997-10-04,3728
1998-03-06,3188
1998-03-25,18218
1999-11-20,1623
2000-04-09,2747
2000-04-18,1911
2000-06-12,9607
2000-06-12,10444
2000-08-12,1588
2000-08-15,1359
2000-09-07,5555
2000-09-15,1001
2000-09-15,1337
2001-04-18,1169
2001-07-08,1435
2001-07-08,2047
2001-08-25,3760
2001-09-26,7375
2001-11-07,1380
2002-03-06,1612
2002-03-20,1209
2002-03-20,1104
2002-03-23,1281
2002-04-23,2080
2002-05-03,4903
2002-05-06,6568
2002-05-15,8862
2002-05-22,2821
2002-06-01,8688
2002-06-01,5258
2002-06-01,2261
2002-06-01,3275
2002-06-01,24044
2002-06-01,7190
2002-06-02,3955
2002-06-08,129417
2002-06-08,1846
2002-06-08,2200
2002-06-08,2386
2002-06-08,1367
2002-06-08,4911
2002-06-08,1109
2002-06-08,2134
2002-06-19,7424
2002-06-23,1396
2002-07-12,17627
2002-07-14,4342
2002-07-17,4348
2002-08-12,15478
2003-07-11,1322
2003-10-10,2530
2003-10-29,1118
2003-10-30,3232
2004-01-27,3164
2004-03-30,9014
2005-06-22,1083
2005-07-06,11023
2006-01-07,4370
2006-04-02,1152
2006-06-18,13126
2006-07-15,1033
2007-09-29,1352
2008-04-14,1524
2008-04-15,5339
2008-04-16,8253
2008-06-07,46612
2008-06-27,1107
2008-07-03,3529
2008-10-02,1971
2009-01-07,3160
2009-03-03,5141
2010-06-06,4887
2010-09-06,5865
2011-02-19,2385
2011-03-20,1640
2011-03-22,1562
2011-03-24,5322
2011-03-24,1167
2011-04-01,2855
2011-04-07,12310
2011-05-26,6585
2011-05-30,6233
2011-06-03,6078
2011-06-05,36863
2011-06-07,14158
2011-06-07,9393
2011-06-12,4705
2011-06-12,28893
2011-06-29,2423
2011-07-23,1029
2012-03-26,3436
2012-06-09,90769
2012-06-17,1665
2012-06-23,20112
2012-06-25,17958
2012-10-09,2549
2012-10-23,2293
2013-03-15,1319
2013-06-05,18775
2013-06-05,34441
2013-06-11,11885
2013-06-11,3290
2013-06-19,10082
2013-09-27,1327
2016-01-28,19918
2016-02-18,1867
2016-02-19,2451
2016-02-20,1873
2016-03-17,1732
2016-06-15,1367
2016-06-19,44221
2016-07-08,17977
2016-10-03,5769
2016-10-17,19023
2017-02-27,5113
2017-03-04,2200
2017-04-06,1582
2017-08-19,2868
2017-12-08,3299
2018-02-24,5182
2018-03-08,28533
2018-03-16,4773
2018-03-16,2129
2018-04-08,2888
2018-04-17,7480
2018-04-17,5173
2018-04-17,5109
2018-05-27,2288
2018-06-07,1355
2018-06-27,107108
2018-06-28,1216
2018-06-28,13169
2018-06-29,1414
2018-07-03,12506
2018-07-19,20725
2018-09-15,28858
2019-03-14,1006
2019-03-19,1146
2019-04-04,1689
2019-09-08,9875
2019-10-27,2264
2020-04-11,1437
2020-05-20,11823
2020-05-16,1838
2020-06-07,3414
2020-07-19,2204
2020-08-20,1582
2020-05-18,1669
2020-08-22,1745
2020-10-14,188924
2020-10-17,9836
2020-08-13,208910
2020-09-06,20886
2020-09-17,179894
2020-08-14,14679
