"","Cali_Ig_Dates_trim","Cali_BurnBndAc"
"1",1985-10-08,5339
"2",1993-10-26,38115
"3",1995-07-20,4655
"4",1995-07-27,3382
"5",2003-07-16,19215
"6",2003-09-03,4903
"7",2007-10-23,19213
"8",1986-07-17,1655
"9",1986-06-02,1556
"10",1988-12-09,1063
"11",1996-08-02,8828
"12",1996-10-21,12340
"13",2002-07-01,2601
"14",2006-09-04,159713
"15",2008-11-13,1927
"16",2008-06-21,2873
"17",2022-07-07,4980
"18",2022-09-07,77858
"19",2022-09-05,28680
"20",2021-07-14,979795
"21",2020-09-05,381441
"22",2020-07-13,29901
"23",2020-08-14,45484
"24",2020-08-19,124382
"25",2020-09-06,115728
"26",2020-09-27,68020
"27",2020-08-17,314241
"28",2020-08-17,1068802
"29",2020-08-17,55194
"30",2019-06-12,1961
"31",2019-10-23,77780
"32",2019-07-26,6018
"33",2018-11-08,153687
"34",2017-07-11,80456
"35",2017-12-05,4895
"36",2017-12-04,281982
"37",2016-08-03,6289
"38",2013-08-17,257084
"39",2010-09-12,11064
"40",2024-06-01,16138
